Record_type,Start_year,End_year,Date,Place_sign,Accounts_type,Area_content,State,Creator,Title,Useful_info,Reference,Page_start,Page_end,Digitized,Transcribed,Tabulated,Digitized_link,Transcription_link,Table_link,Archival_portal_link
Regnskap,1532,1538,,,,,,Olav Engelbrektsson,Olav Engelbrektssons regnskaper,Stykke/ mappe,AV/RA-EA-5965/F13/F13b/L0015,,,Ja,,Nei,https://media.digitalarkivet.no/view/102945/1,x,x,x
Regnskap,1566,1567,,Bergen,Lensregnskap,"Nordland, Troms, Finnmark",Danmark,,,Stykke/ mappe,PUBL/PUBL-001/C/0005,,,Ja,Ja,Nei,https://media.digitalarkivet.no/view/73382/147,https://media.digitalarkivet.no/view/73382/147,x,x
Regnskap m. vedlegg,1593,1602,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Stykke/ mappe,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/1,x,x,x
Regnskap m. vedlegg,1593,1594,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Lensregnskap mikkelsmesse 1593 - mikkelsmesse 1594,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/5,x,x,x
Regnskap m. vedlegg,1595,1596,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Lensregnskap mikkelsmesse 1595 - mikkelsmesse 1596,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/101,x,x,x
Regnskap m. vedlegg,1596,1596,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Lensregnskap mikkelsmesse 1596 - 1/5 1597,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/190,x,x,x
Regnskapsvedlegg,1597,1597,,,Skatt,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Landskatt,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/263,x,x,x
Regnskap m. vedlegg,1596,1597,,,oppgave,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,En oppgave som viser forskjellen mellom landskattene 1596 og 1597,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/288,x,x,x
Regnskap m. vedlegg,1601,1602,,,Lensregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/299,x,x,x
Regnskap m. vedlegg,1601,1602,,,Ekstraktregnskap,Finnmark,Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Ekstrakt av lensregnskapet,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/350,x,x,x
Regnskapsvedlegg,1601,1602,,,Skatt,"Finnmark, Troms",Danmark,Jørgen Kaasis,Vardøhus len nr. 1,Finneskatt av Troms len og Vardøhus len,AV/RA-EA-5023/R/Rb/Rbæ/L0001,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77146/374,x,x,x
Regnskap m. vedlegg,1605,1613,,,Lensregnskap,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Stykke/ mappe,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/1,x,x,x
Regnskap m. vedlegg,1605,1606,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/1,x,x,x
Regnskapsvedlegg,1606,1606,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Landskatt (Grønlandsskatt) Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/47,x,x,x
Regnskap m. vedlegg,1607,1608,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/70,x,x,x
Regnskap,1607,1608,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Ekstrakt av lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/110,x,x,x
Regnskap m. vedlegg,1609,1610,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/123,x,x,x
Regnskap m. vedlegg,1610,1611,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/144,x,x,x
Regnskapsvedlegg,1610,1610,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/170,x,x,x
Regnskapsvedlegg,1609,1611,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Revisjonsmerknader,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/190,x,x,x
Regnskap m. vedlegg,1611,1612,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/194,x,x,x
Regnskapsvedlegg,1611,1612,,,,Alta,Danmark,Oluff Pederson,Vardøhus len nr. 2,Regnskap for kongens bygging i Alta,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/229,x,x,x
Regnskapsvedlegg,1611,1611,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Landskatt mikkelsmesse,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/246,x,x,x
Regnskap m. vedlegg,1612,1613,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/262,x,x,x
Regnskap,1611,1613,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Ekstrakt av lensregnskapene,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/295,x,x,x
Regnskapsvedlegg,1612,1612,,,,Finnmark,Danmark,Oluff Pederson,Vardøhus len nr. 2,Landskatt mikkelsmesse,AV/RA-EA-5023/R/Rb/Rbæ/L0002,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77147/297,x,x,x
Regnskap m. vedlegg,1608,1623,,,Lensregnskap,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Stykke/ mappe,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/1,x,x,x
Regnskap m. vedlegg,1613,1614,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/1,x,x,x
Regnskapsvedlegg,1613,1613,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Landskatt mikkelsmesse,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/18,x,x,x
Regnskap m. vedlegg,1614,1615,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/35,x,x,x
Regnskapsvedlegg,1614,1614,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/52,x,x,x
Regnskapsvedlegg,1613,1614,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Sjøfinneskatt,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/71,x,x,x
Regnskap m. vedlegg,1615,1616,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/88,x,x,x
Regnskap m. vedlegg,1616,1617,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/119,x,x,x
Regnskap m. vedlegg,1617,1618,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/136,x,x,x
Regnskap,1615,1618,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Ekstrakt av lensregnskapene,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/156,x,x,x
Regnskapsvedlegg,1617,1617,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,"[Landskatt Martini, mangler]:",AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/177,x,x,x
Regnskap m. vedlegg,1618,1619,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/179,x,x,x
Regnskapsvedlegg,1618,1618,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/206,x,x,x
Regnskapsvedlegg,1608,1619,,,,Finnmark,Danmark,Claus Bagge,Vardøhus len nr. 3,Register til kvittansiarum,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/229,x,x,x
Regnskap m. vedlegg,1619,1620,,,,Finnmark,Danmark,,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/241,x,x,x
Regnskap m. vedlegg,1620,1621,,,,Finnmark,Danmark,,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/249,x,x,x
Regnskapsvedlegg,1620,1620,,,,Vest-Finnmark,Danmark,,Vardøhus len nr. 3,Landskatt Martini:Vestfinnmark,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/257,x,x,x
Regnskapsvedlegg,1620,1620,,,,Øst-Finnmark,Danmark,,Vardøhus len nr. 3,"Landskatt Martini:Østfinnmark ""fra Wadzøe och till Suarholdt Vdj Kielduuig prestegield""",AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/269,x,x,x
Regnskap m. vedlegg,1621,1622,,,,Finnmark,Danmark,,Vardøhus len nr. 3,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/278,x,x,x
Regnskapsvedlegg,1621,1621,,,,Finnmark,Danmark,,Vardøhus len nr. 3,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/289,x,x,x
Regnskapsvedlegg,1622,1622,,,,Finnmark,Danmark,,Vardøhus len nr. 3,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0003,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77148/306,x,x,x
Regnskap m. vedlegg,1622,1633,,,Lensregnskap,Finnmark,Danmark,,Vardøhus len nr. 4,Stykke/ mappe,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/1,x,x,x
Regnskap m. vedlegg,1622,1624,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/1,x,x,x
Regnskapsvedlegg,1623,1623,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/58,x,x,x
Regnskapsvedlegg,1623,1623,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/40,x,x,x
Regnskap m. vedlegg,1624,1625,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/58,x,x,x
Regnskapsvedlegg,1624,1624,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/70,x,x,x
Regnskap m. vedlegg,1625,1626,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/93,x,x,x
Regnskapsvedlegg,1625,1625,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/101,x,x,x
Regnskapsvedlegg,1626,1626,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt pinse,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/124,x,x,x
Regnskap m. vedlegg,1626,1627,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/143,x,x,x
Regnskapsvedlegg,1626,1626,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt jul,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/156,x,x,x
Regnskap m. vedlegg,1627,1628,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/178,x,x,x
Regnskapsvedlegg,1627,1627,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt til fire terminer,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/187,x,x,x
Regnskapsvedlegg,1628,1628,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt fastelavn,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/207,x,x,x
Regnskap m. vedlegg,1628,1629,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/228,x,x,x
Regnskapsvedlegg,1628,1628,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt påske og 1. juli,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/238,x,x,x
Regnskapsvedlegg,1628,1629,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt jul 1628 og påske 1629,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/256,x,x,x
Regnskap m. vedlegg,1629,1630,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/278,x,x,x
Regnskapsvedlegg,1629,1629,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt 14 dager etter Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/287,x,x,x
Regnskapsvedlegg,1629,1629,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Revisjonsmerknader til skatten,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/311,x,x,x
Regnskap m. vedlegg,1630,1631,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/313,x,x,x
Regnskapsvedlegg,1630,1630,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt 14 dager etter Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/326,x,x,x
Regnskapsvedlegg,1630,1630,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Revisjonsmerknader til skatten,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/346,x,x,x
Regnskap m. vedlegg,1631,1632,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/348,x,x,x
Regnskapsvedlegg,1631,1631,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/356,x,x,x
Regnskap m. vedlegg,1632,1633,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/376,x,x,x
Regnskapsvedlegg,1632,1632,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/389,x,x,x
Regnskapsvedlegg,1632,1632,,,,Finnmark,Danmark,,Vardøhus len nr. 4,Summarisk oppgave over drenger i Vardøhus len som betaler kontribusjon,AV/RA-EA-5023/R/Rb/Rbæ/L0004,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77149/404,x,x,x
Regnskap m. vedlegg,1633,1645,,,Lensregnskap,Finnmark,Danmark,,Vardøhus len nr. 5,Stykke/ mappe,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/1,x,x,x
Regnskap m. vedlegg,1633,1634,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/1,x,x,x
Regnskapsvedlegg,1633,1633,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/13,x,x,x
Regnskap m. vedlegg,1634,1635,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/32,x,x,x
Regnskapsvedlegg,1634,1634,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/40,x,x,x
Regnskapsvedlegg,1634,1634,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Revisjonsmerknader til skatten,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/55,x,x,x
Regnskap m. vedlegg,1635,1636,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/56,x,x,x
Regnskapsvedlegg,1635,1635,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Landskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/64,x,x,x
Regnskap m. vedlegg,1636,1637,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/79,x,x,x
Regnskap m. vedlegg,1637,1638,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/88,x,x,x
Regnskap m. vedlegg,1638,1639,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/95,x,x,x
Regnskapsvedlegg,1639,1639,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Unionsskatt (landskatt) påske,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/104,x,x,x
Regnskapsvedlegg,1638,1639,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Revisjonsmerknader,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/122,x,x,x
Regnskap m. vedlegg,1639,1640,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/124,x,x,x
Regnskapsvedlegg,1639,1639,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Unionsskatt mikkelsmesse og jul,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/133,x,x,x
Regnskap m. vedlegg,1640,1641,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/148,x,x,x
Regnskapsvedlegg,1640,1640,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Unionsskatt mikkelsmesse,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/157,x,x,x
Regnskapsvedlegg,1640,1640,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Unionsskatt Martini,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/176,x,x,x
Regnskapsvedlegg,1641,1641,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Unionsskatt fastelavn,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/192,x,x,x
Regnskap m. vedlegg,1641,1642,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/209,x,x,x
Regnskapsvedlegg,1641,1642,,,,Finnmark,Danmark,,Vardøhus len nr. 5,"Unionsskatter mikkelsmesse og jul 1641, fastelavn og jonsok 1642",AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/218,x,x,x
Regnskap m. vedlegg,1642,1643,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/240,x,x,x
Regnskapsvedlegg,1643,1643,,,,Finnmark,Danmark,,Vardøhus len nr. 5,(A)Leidangs- og tiendemanntall,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/250,x,x,x
Regnskapsvedlegg,1642,1643,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Unionsskatter Martini 1642 og jonsok 1643,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/260,x,x,x
Regnskap m. vedlegg,1643,1644,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/289,x,x,x
Regnskapsvedlegg,1643,1644,,,,Finnmark,Danmark,,Vardøhus len nr. 5,AUnionsskatter Martini 1643 og påske 1644,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/297,x,x,x
Regnskapsvedlegg,1643,1644,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Revisjonsmerknader,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/328,x,x,x
Regnskap m. vedlegg,1644,1645,,,,Finnmark,Danmark,,Vardøhus len nr. 5,Lensregnskap,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/330,x,x,x
Regnskapsvedlegg,1644,1644,,,,Finnmark,Danmark,,Vardøhus len nr. 5,BKontribusjon jonsok og mikkelsmesse,AV/RA-EA-5023/R/Rb/Rbæ/L0005,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77150/339,x,x,x
Regnskap m. vedlegg,1645,1653,,,Lensregnskap,Finnmark,Danmark,,Vardøhus len nr. 6,Stykke/ mappe,AV/RA-EA-5023/R/Rb/Rbæ/L0006,,,Ja,Nei,Nei,https://media.digitalarkivet.no/view/77151/1,x,x,x
