Record_type,Date,Year,Court_place,Court_type,Place,Folio,State,Creator,Useful_info,Reference,Transcribed,Tabulated,Digitized_link,Transcription_link,Table_link,Archival_portal_link
Ting,1630/6/12,1630,Suerholtt,Ting,,72b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/6/14,1630,Schyttenberg,Ting,,73a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/6/19,1630,Madtkurff,Ting,,75b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/6/22,1630,Wardøehuus,Ting,,76b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/7/6,1630,Wadtzsøe,Ting,,77b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/7/6,1630,Kiberg,Ting,,78b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/7/16,1630,Wardøehuus,Ting,,79a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/8/19,1630,Omgang,Ting,,82b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/8/19,1630,Suerholtt,Ting,,83a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/9/7,1630,Goesnes,Ting,,84b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/9/15,1630,Hammerfest,Ting,,84b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/9/24,1630,Hasswogh,Ting,,85b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1630/9/25,1630,Loppen,Ting,,85b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/3/7,1631,Wadtzsøe,Ting,,86a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/4/13,1631,Wardøehuus,Ting,,86b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/4/27,1631,Madtkurff,Ting,,91b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/4/29,1631,Omgang,Ting,,92b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/5/4,1631,Skøttenberg,Ting,,93a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/5/9,1631,Suerholtt,Ting,,95a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/5/25,1631,Loppen,Ting,,96a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/6/1,1631,Hasswoeg,Ting,,98b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/6/7,1631,Hammerfest,Ting,,99a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/6/13,1631,Goesnes,Ting,,100a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/6/17,1631,Killwigenn,Ting,,101a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/7/4,1631,Wadtzsøe,Ting,,105a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/7/23,1631,Kieberg,Ting,,107a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/8/25,1631,Loppenn,Ting,,107b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/8/27,1631,Hasswoeg,Ting,,108b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/9/12,1631,Hammerfest,Ting,,109b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/10/1,1631,Suerholt,Ting,,110a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/10/3,1631,Skuttenberg,Ting,,110b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/10/17,1631,Kiberg,Ting,,111a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1631/10/24,1631,Wardøenn,Ting,,112a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/3/5,1632,Wadtzsøe,Ting,,114b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/3/19,1632,Wadtzsøe,Ting,,117b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/3/23,1632,Kieberg,Ting,,118b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/6/11,1632,Schyttenberg,Ting,,120b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/6/12,1632,Suerholt,Ting,,120b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/6/20,1632,Haswogh,Ting,,121a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/6/23,1632,Loppen,Ting,,121b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/6/26,1632,Hammerfest,Ting,,122a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/6/26,1632,Goesnes,Ting,,122b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/7/3,1632,Killuig,Ting,,124a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1632/9/10,1632,Wardøehuus,Ting,,124b,Danmark,Jfuer Nielsenn,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/5/17,1633,Loppen,Vårting,,129b,Danmark,Jørgen Knudsen,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/5/20,1633,Haswogh,Vårting,,130b,Danmark,Jørgen Knudsen,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/5/24,1633,Hammerfest,Vårting,,131a,Danmark,Jørgen Knudsen,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/6/1,1633,Gosnes,Vårting,,131a,Danmark,Jørgen Knudsen,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/6/4,1633,Kieluig,Vårting,,131b,Danmark,Jørgen Knudsen,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/6/14,1633,Schøttingbergh,Vårting,,135a,Danmark,Jørgen Knudsen,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/6/17,1633,Omgang,Vårting,,137a,Danmark,Jørgen Knudsen,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/6/20,1633,Syltuig,Vårting,,137b,Danmark,Jørgen Knudsen,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/7/3,1633,Wadtzsøe,Ting,,138a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/7/16,1633,Wardøe,Ting,,138b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/8/14,1633,Schyttenberg,Ting,,139b,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Ting,1633/8/29,1633,Killuig,Ting,,140a,Danmark,Johan Borckenfeldt,,SATØ/S-0053/F/Fa/L0007,Ja,Nei,x,http://urn.nb.no/URN:NBN:no-nb_digibok_2014011606031,x,x
Lagtingbok,,1647,Nordland og Finnmarks Lagstol,Diverse,Nord-Norge,,Danmark,,"Nordland og Finnmarks lagstol, nr. 1: Justisprotokoll 1647-1668",AV/SAT-A-5608/X/L0001 ,Ja,Nei,https://media.digitalarkivet.no/view/159337/1,x,x,x
Tingbok,,1648,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 8: Tingbok, 1648-1654",SATØ/S-0053/F/Fa/L0008,Nei,Nei,https://media.digitalarkivet.no/view/28723/2,x,x,x
Tingbok,,1654,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 9: Tingbok, 1654-1663",SATØ/S-0053/F/Fa/L0009,Nei,Nei,https://media.digitalarkivet.no/view/28724/2,x,x,x
Tingbok,,1654,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 10: Tingbok, 1654-1663",SATØ/S-0053/F/Fa/L0010,Nei,Nei,https://media.digitalarkivet.no/view/28725/3,x,x,x
Tingbok,,1664,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 11: Tingbok, 1664-1667",SATØ/S-0053/F/Fa/L0011,Nei,Nei,https://www.digitalarkivet.no/source/28726,x,x,x
Lagtingbok,,1666,Nordland og Finnmarks Lagstol,Diverse,Nord-Norge,,Danmark,,"Nordland og Finnmarks lagstol, nr. 2: Justisprotokoll 1666-1690 for Nordlandene",AV/SAT-A-5608/X/L0002,Nei,Nei,https://media.digitalarkivet.no/view/31405/1,x,x,x
Tingbok,,1668,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 12: Tingbok, 1668-1671",SATØ/S-0053/F/Fa/L0012,Nei,Nei,https://media.digitalarkivet.no/view/28727/4,x,x,x
Tingbok,,1671,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 13: Tingbok, 1671-1673",SATØ/S-0053/F/Fa/L0013,Nei,Nei,https://media.digitalarkivet.no/view/28728/3,x,x,x
Lagtingbok,,1671,Nordland og Finnmarks Lagstol,Diverse,Nord-Norge,,Danmark,,"Nordland og Finnmarks lagstol, nr. 3: Justisprotokoll 1671-1683 for Finnmark",AV/SAT-A-5608/X/L0003,Nei,Nei,https://media.digitalarkivet.no/view/31406/1,x,x,x
Tingbok,,1674,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 14: Tingbok, 1674-1676",SATØ/S-0053/F/Fa/L0014,Nei,Nei,https://media.digitalarkivet.no/view/28729/3,x,x,x
Tingbok,,1677,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 15: Tingbok, 1677-1678",SATØ/S-0053/F/Fa/L0015,Nei,Nei,https://media.digitalarkivet.no/view/28730/3,x,x,x
Tingbok,,1678,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 16: Tingbok, 1678-1679",SATØ/S-0053/F/Fa/L0016,Nei,Nei,https://media.digitalarkivet.no/view/28731/3,x,x,x
Tingbok,,1680,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 17: Tingbok, 1680-1682",SATØ/S-0053/F/Fa/L0017,Nei,Nei,https://media.digitalarkivet.no/view/28732/3,x,x,x
Tingbok,,1682,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 18: Tingbok, 1682-1683",SATØ/S-0053/F/Fa/L0018,Nei,Nei,https://media.digitalarkivet.no/view/28733/3,x,x,x
Tingbok,,1677,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 19: Tingbok, 1677-1685",SATØ/S-0053/F/Fa/L0019,Nei,Nei,https://media.digitalarkivet.no/view/28734/3,x,x,x
Tingbok,,1685,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 20: Tingbok, 1685",SATØ/S-0053/F/Fa/L0020,Nei,Nei,https://media.digitalarkivet.no/view/28735/3,x,x,x
Tingbok,,1685,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 21: Tingbok, 1685-1688",SATØ/S-0053/F/Fa/L0021,Nei,Nei,https://media.digitalarkivet.no/view/28736/3,x,x,x
Tingbok,,1688,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 22: Tingbok, 1688",SATØ/S-0053/F/Fa/L0022,Nei,Nei,https://media.digitalarkivet.no/view/28737/2,x,x,x
Lagtingbok,,1688,Nordland og Finnmarks Lagstol,Diverse,Nord-Norge,,Danmark,,"Nordland og Finnmarks lagstol, nr. 4: Justisprotokoll 1688-1691 for Nordlandene",AV/SAT-A-5608/X/L0004,Nei,Nei,https://media.digitalarkivet.no/view/31407/1,x,x,x
Tingbok,,1688,Alle lappmarker,Diverse,Svensk Lappmark,,Sverige,,"1688-1705, egentlig fra 1699, alle lappmarker",SE/HLA/1040125/A I/1,Ja,Nei,https://sok.riksarkivet.se/arkiv/q5uZVaKcMKIfVxountXXm1,x,x,x
Tingbok,,1689,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 23: Tingbok, 1689-1690",SATØ/S-0053/F/Fa/L0023,Nei,Nei,https://media.digitalarkivet.no/view/28738/2,x,x,x
Tingbok,,1690,Helgeland Sorenskriveri,Diverse,Helgeland,,Danmark,,"Helgeland sorenskriveri, tingbok nr. 1, 1690-1693",AV/SAT-A-0004/1/1A/L0001,Nei,Nei,https://media.digitalarkivet.no/view/28717/2,x,x,x
Tingbok,,1691,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 24: Tingbok, 1691",SATØ/S-0053/F/Fa/L0024,Nei,Nei,https://media.digitalarkivet.no/view/28739/3,x,x,x
Tingbok,,1692,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 25: Tingbok, 1692-1695",SATØ/S-0053/F/Fa/L0025,Nei,Nei,https://media.digitalarkivet.no/view/28740/3,x,x,x
Tingbok,,1693,Lofoten Sorenskriveri,Diverse,Lofoten,,Danmark,,"Lofoten sorenskriveri, tingbok nr. 1, 1693-1699 NB! Register",AV/SAT-A-0017/1/1/1A/L0001,Nei,Nei,https://media.digitalarkivet.no/view/28720/4,x,x,x
Tingbok,,1693,Helgeland Sorenskriveri,Diverse,Helgeland,,Danmark,,"Helgeland sorenskriveri, tingbok nr. 2, 1693-1700",AV/SAT-A-0004/1/1A/L0002,Nei,Nei,https://media.digitalarkivet.no/view/28718/2,x,x,x
Tingbok,,1696,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 26: Tingbok, 1696-1698",SATØ/S-0053/F/Fa/L0026,Nei,Nei,https://media.digitalarkivet.no/view/28741/2,x,x,x
Tingbok,,1698,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 27: Tingbok, 1698-1701",SATØ/S-0053/F/Fa/L0027,Nei,Nei,https://media.digitalarkivet.no/view/28742/2,x,x,x
Tingbok,,1700,Helgeland Sorenskriveri,Diverse,Helgeland,,Danmark,,"Helgeland sorenskriveri, tingbok nr. 3, 1700-1709",AV/SAT-A-0004/1/1A/L0003,Nei,Nei,https://media.digitalarkivet.no/view/28719/2,x,x,x
Tingbok,,1701,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 28: Tingbok, 1701-1703",SATØ/S-0053/F/Fa/L0028,Nei,Nei,https://media.digitalarkivet.no/view/31078/3,x,x,x
Tingbok,,1703,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 29: Tingbok, 1703-1705",SATØ/S-0053/F/Fa/L0029,Nei,Nei,https://media.digitalarkivet.no/view/31079/3,x,x,x
Tingbok,,1706,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 30: Tingbok, 1706",SATØ/S-0053/F/Fa/L0030,Nei,Nei,https://media.digitalarkivet.no/view/31080/3,x,x,x
Tingbok,,1706,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 31: Tingbok, 1706-1709",SATØ/S-0053/F/Fa/L0031,Nei,Nei,https://media.digitalarkivet.no/view/31081/3,x,x,x
Tingbok,,1706,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 32: Tingbok, 1706-1710",SATØ/S-0053/F/Fa/L0032,Nei,Nei,https://media.digitalarkivet.no/view/31082/3,x,x,x
Tingbok,,1706,Alle lappmarker,Diverse,Svensk Lappmark,,Sverige,,1706 – 1715 Alle lappmarker,SE/HLA/1040125/A I/2,Ja,Nei,https://sok.riksarkivet.se/arkiv/XwkyknUcmg7MhvhxTp8fH6,x,x,x
Tingbok,,1706,Lofoten Sorenskriveri,Diverse,Lofoten,,Danmark,,"Lofoten sorenskriveri, tingbok nr. 2, 1706-1715",AV/SAT-A-0017/1/1/1A/L0002,Nei,Nei,https://media.digitalarkivet.no/view/31295/3,x,x,x
Tingbok,,1707,Tromsø Sorenskriveri,Diverse,Tromsø,,Danmark,,"Tromsø sorenskriveri, tingbok nr. 1, 1707-1728",AV/SATØ-S-0262,Nei,Nei,https://media.digitalarkivet.no/view/31062/1,x,x,x
Lagtingbok,,1708,Nordland og Finnmarks Lagstol,Diverse,Nord-Norge,,Danmark,,"Nordland og Finnmarks lagstol, nr. 5: Justisprotokoll 1708-1726",AV/SAT-A-5608/X/L0005,Nei,Nei,https://media.digitalarkivet.no/view/31408/1,x,x,x
Tingbok,,1709,Helgeland Sorenskriveri,Diverse,Helgeland,,Danmark,,"Helgeland sorenskriveri, tingbok nr. 4, 1709-1714",AV/SAT-A-0004/1/1A/L0004,Nei,Nei,https://media.digitalarkivet.no/view/31246/2,x,x,x
Tingbok,,1710,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 33: Tingbok, 1710-1711",SATØ/S-0053/F/Fa/L0033,Nei,Nei,https://media.digitalarkivet.no/view/31083/3,x,x,x
Tingbok,,1710,Vesterålen Sorenskriveri,Diverse,Vesterålen,,Danmark,,"Vesterålen sorenskriveri, tingbok nr. 1, 1710-1737",AV/SAT-A-4180/1/1/1A/L0001,Nei,Nei,https://media.digitalarkivet.no/view/31300/3,x,x,x
Tingbok,,1712,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 34: Tingbok, 1712-1713",SATØ/S-0053/F/Fa/L0034,Nei,Nei,https://media.digitalarkivet.no/view/31084/3,x,x,x
Tingbok,,1713,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 35: Tingbok, 1713-1718",SATØ/S-0053/F/Fa/L0035,Nei,Nei,https://media.digitalarkivet.no/view/31085/3,x,x,x
Tingbok,,1716,Vesterålen Sorenskriveri,Diverse,Vesterålen,,Danmark,,"Vesterålen sorenskriveri, tingbok nr. 2, 1716-1723",AV/SAT-A-4180/1/1/1A/L0002,Nei,Nei,https://media.digitalarkivet.no/view/31301/2,x,x,x
Tingbok,,1717,Helgeland Sorenskriveri,Diverse,Helgeland,,Danmark,,"Helgeland sorenskriveri, tingbok nr. 6, 1717-1723",AV/SAT-A-0004/1/1A/L0005,Nei,Nei,https://media.digitalarkivet.no/view/31247/2,x,x,x
Tingbok,,1719,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 36: Tingbok, 1719-1722",SATØ/S-0053/F/Fa/L0036,Nei,Nei,https://media.digitalarkivet.no/view/31086/3,x,x,x
Tingbok,,1719,Salten Sorenskriveri,Diverse,Salten,,Danmark,,"Salten sorenskriveri, tingbok nr. 1, 1719-1722",AV/SAT-A-4578/1/1/1A/L0001,Nei,Nei,https://media.digitalarkivet.no/view/31278/1,x,x,x
Tingbok,,1722,Salten Sorenskriveri,Diverse,Salten,,Danmark,,"Salten sorenskriveri, tingbok nr. 2, 1722-1726",AV/SAT-A-4578/1/1/1A/L0002,Nei,Nei,https://media.digitalarkivet.no/view/31279/1,x,x,x
Tingbok,,1723,Helgeland Sorenskriveri,Diverse,Helgeland,,Danmark,,"Helgeland sorenskriveri, tingbok nr. 7, 1723-1725",AV/SAT-A-0004/1/1A/L0006,Nei,Nei,https://media.digitalarkivet.no/view/31248/2,x,x,x
Tingbok,,1723,Finnmark Sorenskriveri,Diverse,Finnmark,,Danmark,,"Finnmark sorenskriveri, Rettergang, Justisprotokoller, nr. 37: Tingbok, 1723-1726",SATØ/S-0053/F/Fa/L0037,Nei,Nei,https://media.digitalarkivet.no/view/31087/3,x,x,x
Tingbok,,1723,Senja Sorenskriveri,Diverse,Senja,,Danmark,,"Senja sorenskriveri, tingbok nr. 1, 1723-1727",AV/SATØ-S-0260,Nei,Nei,https://media.digitalarkivet.no/view/31058/1,x,x,x
Tingbok,,1726,Helgeland Sorenskriveri,Diverse,Helgeland,,Danmark,,"Helgeland sorenskriveri, tingbok nr. 8, 1726-1730",AV/SAT-A-0004/1/1A/L0007,Nei,Nei,https://media.digitalarkivet.no/view/31249/3,x,x,x
Tingbok,,1726,Salten Sorenskriveri,Diverse,Salten,,Danmark,,"Salten sorenskriveri, tingbok nr. 3, 1726-1731",AV/SAT-A-4578/1/1/1A/L0003,Nei,Nei,https://media.digitalarkivet.no/view/31280/3,x,x,x
Tingbok,,1726,Lofoten Sorenskriveri,Diverse,Lofoten,,Danmark,,"Lofoten sorenskriveri, tingbok nr. 3, 1726-1796",AV/SAT-A-0017/1/1/1A/L0003,Nei,Nei,https://media.digitalarkivet.no/view/31296/3,x,x,x
